id,original_component_id,alternative_component_id
1,165,5
2,50,167
3,82,499
4,150,52
5,475,348
6,422,482
7,351,270
8,459,168
9,183,427
10,345,235
11,23,26
12,45,480
13,473,387
14,321,244
15,423,258
16,429,16
17,435,382
18,57,66
19,463,397
20,247,186
21,142,206
22,104,461
23,495,133
24,145,399
25,371,285
26,154,301
27,76,169
28,304,363
29,329,229
30,271,338
31,167,241
32,22,238
33,223,176
34,159,302
35,133,143
36,360,281
37,232,67
38,128,111
39,197,335
40,185,463
41,96,90
42,346,255
43,302,260
44,21,240
45,178,61
46,389,139
47,51,304
48,54,67
49,433,212
50,280,325
51,430,467
52,454,199
53,491,426
54,141,476
55,91,248
56,389,212
57,221,106
58,442,242
59,247,340
60,97,123
61,236,292
62,22,310
63,76,272
64,406,210
65,82,38
66,140,70
67,386,434
68,351,459
69,90,26
70,420,297
71,170,33
72,113,435
73,328,182
74,466,121
75,111,494
76,459,334
77,148,465
78,86,265
79,278,244
80,80,417
81,301,14
82,397,293
83,131,450
84,489,284
85,261,361
86,191,353
87,191,469
88,60,217
89,113,494
90,461,399
91,141,431
92,313,295
93,276,338
94,441,230
95,339,382
96,79,101
97,475,244
98,360,193
99,174,348
100,453,387
101,456,297
102,326,117
103,254,204
104,148,230
105,221,151
106,104,473
107,211,354
108,431,311
109,181,365
110,423,71
111,179,170
112,430,427
113,281,442
114,293,182
115,235,479
116,405,197
117,402,206
118,368,346
119,321,472
120,78,175
121,140,168
122,214,113
123,266,254
124,361,313
125,446,115
126,167,365
127,34,414
128,156,255
129,166,158
130,500,277
131,180,441
132,494,141
133,187,276
134,217,471
135,69,489
136,46,433
137,151,463
138,20,157
139,147,493
140,39,366
141,403,84
142,342,187
143,134,355
144,367,262
145,115,252
146,260,348
147,54,90
148,38,169
149,247,122
150,31,167
151,244,305
152,281,365
153,376,83
154,412,185
155,211,364
156,353,496
157,99,197
158,262,463
159,215,84
160,316,348
161,20,394
162,198,34
163,496,358
164,322,201
165,345,82
166,60,10
167,83,126
168,356,319
169,343,139
170,97,144
171,320,491
172,374,39
173,77,107
174,256,82
175,433,465
176,72,439
177,430,494
178,393,484
179,191,436
180,468,18
181,154,266
182,90,260
183,379,25
184,250,272
185,48,201
186,19,120
187,319,279
188,411,156
189,406,360
190,197,361
191,46,386
192,227,297
193,414,272
194,262,360
195,76,3
196,500,88
197,206,175
198,245,267
199,304,84
200,447,150
201,406,311
202,230,475
203,54,488
204,22,478
205,484,283
206,164,96
207,318,151
208,417,488
209,22,11
210,168,350
211,408,135
212,119,386
213,475,36
214,158,185
215,82,494
216,261,377
217,421,28
218,194,358
219,201,404
220,59,260
221,227,381
222,419,281
223,131,289
224,319,80
225,86,127
226,70,135
227,31,407
228,421,394
229,467,15
230,293,346
231,417,48
232,349,27
233,160,319
234,353,165
235,366,243
236,254,59
237,175,284
238,262,453
239,38,210
240,438,264
241,163,172
242,357,364
243,284,485
244,444,142
245,305,177
246,173,263
247,21,261
248,319,114
249,145,423
250,60,37
251,392,341
252,32,306
253,412,131
254,22,69
255,453,451
256,34,93
257,308,459
258,24,176
259,312,92
260,145,399
261,442,285
262,370,230
263,88,371
264,431,94
265,101,253
266,236,269
267,433,425
268,8,435
269,289,205
270,237,57
271,158,363
272,497,92
273,257,310
274,8,149
275,164,44
276,130,277
277,163,47
278,400,169
279,424,176
280,217,235
281,85,430
282,110,265
283,134,157
284,118,165
285,162,332
286,343,195
287,277,161
288,79,17
289,344,247
290,178,63
291,411,350
292,295,166
293,476,366
294,61,248
295,396,250
296,500,490
297,131,117
298,397,311
299,238,155
300,154,74
301,149,266
302,454,397
303,200,445
304,226,134
305,299,253
306,320,151
307,433,354
308,451,130
309,59,189
310,424,146
311,317,82
312,409,289
313,294,399
314,287,10
315,387,364
316,117,180
317,146,443
318,23,413
319,110,89
320,481,484
321,313,153
322,54,192
323,167,254
324,332,406
325,230,77
326,16,453
327,208,121
328,93,289
329,189,191
330,428,493
331,19,196
332,230,181
333,490,82
334,324,479
335,417,450
336,235,200
337,426,497
338,127,90
339,116,74
340,229,452
341,341,350
342,319,205
343,176,171
344,87,195
345,355,83
346,5,345
347,360,66
348,39,277
349,446,377
350,192,28
351,26,428
352,288,266
353,258,44
354,377,496
355,160,448
356,341,89
357,376,219
358,273,317
359,213,401
360,256,105
361,156,63
362,365,216
363,210,48
364,386,278
365,146,406
366,93,379
367,55,126
368,466,24
369,369,345
370,475,430
371,272,96
372,192,432
373,225,179
374,157,355
375,174,176
376,440,392
377,74,58
378,179,298
379,383,249
380,366,433
381,461,351
382,472,132
383,400,186
384,172,482
385,79,259
386,106,404
387,68,228
388,111,297
389,434,490
390,285,206
391,215,63
392,443,314
393,209,50
394,382,480
395,156,327
396,330,146
397,348,83
398,171,397
399,361,57
400,440,8
401,112,104
402,124,92
403,390,260
404,486,57
405,344,220
406,285,335
407,348,475
408,176,153
409,374,3
410,393,251
411,178,43
412,360,236
413,372,95
414,322,425
415,310,157
416,316,270
417,248,354
418,308,461
419,229,87
420,449,224
421,480,65
422,418,241
423,336,35
424,358,9
425,288,453
426,487,355
427,153,227
428,367,332
429,290,307
430,174,72
431,114,354
432,65,112
433,291,271
434,256,365
435,200,169
436,266,200
437,73,52
438,38,375
439,16,145
440,221,196
441,395,253
442,309,10
443,117,470
444,34,108
445,303,315
446,472,432
447,304,444
448,15,464
449,442,222
450,424,328
451,84,161
452,380,296
453,424,432
454,82,280
455,200,89
456,457,474
457,395,455
458,52,383
459,223,481
460,71,95
461,91,377
462,230,359
463,268,305
464,355,279
465,8,401
466,329,77
467,229,98
468,437,346
469,91,207
470,366,188
471,304,427
472,392,224
473,129,239
474,441,293
475,431,114
476,313,419
477,225,58
478,260,498
479,463,102
480,169,36
481,311,279
482,46,40
483,35,439
484,382,393
485,414,355
486,170,362
487,48,393
488,460,100
489,35,175
490,370,188
491,73,337
492,442,77
493,416,268
494,99,126
495,163,436
496,363,326
497,6,475
498,393,140
499,73,105
500,317,471
